,Predictions
1174,47
167,28
633,25
657,26
1510,7
604,24
514,19
1050,42
724,28
710,28
1380,4
1247,31
66,1
214,7
374,12
713,28
16,0
1273,0
297,10
240,8
921,37
104,2
350,12
52,1
34,0
1250,50
372,12
843,33
535,20
898,36
1286,1
869,34
923,37
890,35
1514,7
466,17
593,23
463,17
1363,3
526,19
872,34
1375,4
1270,0
609,24
685,27
228,8
511,19
1420,5
1240,49
773,31
209,7
1052,42
1229,49
714,28
641,26
1497,6
512,19
904,36
1053,42
444,16
824,32
518,29
474,17
1008,41
421,15
759,30
10,0
814,32
441,16
1069,44
675,26
124,2
1289,1
836,33
829,32
636,25
449,17
656,26
862,34
1271,0
1331,3
696,27
336,12
1143,46
330,11
296,10
1388,4
5,0
1448,5
238,8
30,0
842,33
249,9
686,27
982,39
1133,46
913,37
1121,45
716,28
13,0
405,14
612,14
740,29
689,27
1391,4
454,17
981,39
1323,2
1296,1
643,26
115,2
1179,1
1018,42
687,27
218,7
107,2
151,3
992,41
1094,44
752,30
110,2
739,29
893,36
361,12
579,22
1156,47
1009,41
1486,6
102,2
964,38
369,12
1024,42
253,9
1081,44
378,13
1435,5
1057,43
549,22
995,41
499,19
129,2
795,31
46,0
7,0
971,39
1157,47
1178,47
939,38
647,26
1175,1
782,31
1344,3
1487,6
32,5
944,38
145,3
630,25
894,36
1082,44
551,22
797,31
1297,1
1110,44
784,31
476,17
666,26
709,28
38,0
39,0
133,3
0,0
864,34
750,30
112,2
951,38
265,9
1170,47
370,12
284,9
694,27
874,34
479,18
627,25
1254,50
389,13
486,18
260,9
540,20
257,9
452,17
1290,1
937,38
835,33
194,6
1118,45
600,24
645,26
171,4
1284,0
437,16
728,1
806,31
450,17
1040,42
854,34
337,12
355,12
368,12
950,38
933,38
1356,3
1443,5
1062,43
14,0
726,1
43,0
1161,47
182,5
856,34
1317,2
753,30
286,36
1027,42
721,28
533,19
419,15
767,31
1419,5
69,1
560,22
1251,50
631,25
154,3
1307,2
556,22
1298,1
822,32
1132,46
690,27
1238,49
234,8
1515,7
785,31
99,2
123,2
681,26
603,24
241,8
955,38
323,11
61,1
1019,42
771,31
1366,4
482,18
1241,42
670,26
111,2
1177,1
532,19
193,6
315,11
521,19
542,20
285,9
1485,6
33,0
1370,4
1293,1
658,26
527,29
545,21
170,4
343,12
352,12
492,18
825,32
965,38
873,34
1394,4
1106,44
1482,6
537,20
859,34
47,0
621,25
1098,44
805,31
572,22
230,8
1137,46
1324,3
184,6
754,30
322,11
484,18
426,15
263,9
796,31
1505,7
276,9
832,18
227,8
1407,4
590,23
243,8
67,1
774,31
884,35
776,31
1049,42
901,36
451,17
144,3
667,26
1089,44
1369,4
467,17
289,9
1299,1
1266,50
222,7
1239,49
393,13
531,19
475,17
1080,44
187,6
11,0
331,11
977,39
138,3
40,0
957,38
700,28
339,12
221,7
224,8
1412,5
1387,4
291,9
347,12
87,1
300,10
116,2
9,0
1167,47
491,18
807,31
1163,47
159,4
294,10
711,28
676,26
1316,2
6,0
1278,0
127,2
25,0
