,Predictions
472,0
179,0
656,1
71,0
1149,0
768,0
367,0
863,0
817,0
725,0
234,0
370,0
755,0
1276,0
567,0
416,0
695,0
1036,0
602,0
826,0
391,0
540,1
1440,0
621,0
879,0
516,0
467,0
1010,0
487,0
343,0
511,0
410,0
1136,1
1425,0
139,0
5,0
754,0
31,0
1179,0
1103,0
710,0
305,0
776,1
143,0
118,0
390,0
383,0
16,0
1101,0
1102,0
275,0
913,0
1183,0
447,0
196,0
650,0
1438,1
692,0
777,1
245,0
509,0
713,0
183,0
10,0
1021,0
112,0
1148,0
637,0
1266,0
631,0
1380,0
1451,0
229,0
807,0
459,0
1410,0
996,0
350,0
885,0
335,0
743,0
1463,0
544,0
48,0
357,1
972,0
1146,0
906,0
808,0
719,0
417,0
1003,0
917,0
899,0
124,0
813,0
444,0
363,1
1066,0
208,0
1063,0
689,1
258,0
33,0
724,0
342,0
507,0
968,0
308,0
823,0
501,0
919,0
999,0
524,0
1158,0
156,0
694,0
134,0
224,0
887,0
1159,0
583,0
700,0
738,0
723,0
462,0
39,0
115,0
40,0
0,0
271,0
120,0
1218,0
278,0
856,0
536,0
818,0
628,0
992,0
1467,0
356,0
1059,0
315,0
531,0
1370,0
667,0
712,0
1260,0
1308,0
1023,0
393,0
1468,0
359,0
412,0
404,0
1152,0
798,1
395,0
1378,0
888,0
588,0
549,0
316,0
1128,0
14,1
564,0
44,0
932,0
1077,0
1356,0
1197,0
912,0
572,0
722,0
543,0
1076,0
878,0
1409,0
74,0
448,0
1312,0
165,0
1333,0
479,0
1064,0
708,0
940,0
718,0
1098,0
266,0
255,0
1198,0
750,0
66,0
284,0
960,0
1144,0
1456,0
665,0
1424,0
944,0
897,0
207,0
295,0
1011,0
727,1
1214,0
106,0
864,0
1045,0
1441,0
399,0
34,0
693,0
910,0
795,0
499,0
119,0
35,0
538,0
182,0
866,0
1039,0
1267,0
1236,0
1445,0
1381,0
1384,0
1009,0
920,0
1319,0
655,0
751,0
553,0
1125,0
1446,0
1345,0
1044,0
880,0
49,0
304,0
982,0
251,0
902,0
1329,0
769,0
351,0
375,0
13,0
1018,0
54,0
984,0
1106,0
247,0
645,0
678,0
198,0
1224,0
442,0
389,0
547,0
1269,0
641,0
244,0
1225,0
1193,0
260,0
72,0
559,0
820,0
1272,0
1361,0
728,0
413,0
155,0
784,0
1302,0
1359,0
492,0
1285,0
915,0
481,0
491,0
825,0
1123,0
804,0
1453,0
201,0
615,0
1449,0
148,0
1143,0
623,0
1443,0
707,0
238,0
241,0
440,0
372,0
310,0
954,0
93,0
319,0
125,0
9,0
1190,0
349,0
801,0
597,0
1075,0
313,0
711,1
675,0
1042,0
6,0
433,0
137,0
25,0
1457,0
985,0
1284,0
1233,0
949,0
558,0
1227,0
1386,0
496,0
636,0
348,0
957,0
1413,0
1165,0
1422,0
508,0
488,0
1168,0
847,0
1182,0
1177,0
670,0
698,0
194,0
921,1
68,0
1444,0
828,1
280,0
